#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
7.7434,9,19.598965
8.62694,10,19.674959
6.294518,7,19.740365
3.347193,4,19.774757
4.158809,5,19.818095
3.316765,4,19.853932
7.856616,9,19.925511
4.249538,5,19.967693
7.003173,8,20.030283
11.897035,13,20.146453
13.050679,14,20.254757
14.939568,17,20.402418
8.956962,10,20.524662
6.279333,7,20.585705
4.210213,5,20.62775
5.163721,6,20.675372
3.331454,4,20.709605
6.21413,7,20.769261
6.173431,7,20.830429
7.856232,9,20.893314
7.840545,9,20.962532
8.613531,10,21.037369
4.176639,5,21.079132
11.583658,12,21.17234
4.226841,5,21.215357
3.319963,4,21.252904
8.607489,10,21.326577
13.139233,14,21.439907
3.422222,4,21.474365
11.202264,12,21.582584
4.182115,5,21.625955
11.146756,12,21.730455
13.633957,15,21.847869
6.808611,8,21.918797
3.347945,4,21.952745
7.229618,8,22.01617
13.176227,14,22.127068
7.07839,8,22.189222
7.257396,8,22.256582
7.257396,8,22.323645
11.202264,12,22.433692
3.347945,4,22.469137
7.024867,8,22.534811
11.694444,12,22.634371
6.249538,7,22.696719
7.229618,8,22.764375
11.202264,12,22.867262
6.194982,7,22.931068
4.171645,5,22.973008
11.146756,12,23.077861
4.182115,5,23.123268
7.174063,8,23.190368
10.52649,12,23.292942
5.236625,6,23.342196
11.202264,12,23.45051
7.644697,9,23.527439
11.202264,12,23.63404
7.802642,9,23.702199
10.528811,12,23.806261
11.064998,12,23.914514
12.223208,14,24.038822
10.445478,12,24.137818
11.666667,12,24.235195
6.194982,7,24.291922
11.527778,12,24.394383
8.446864,10,24.472741
10.963705,12,24.578203
11.94143,16,24.720073
13.854222,15,24.843765
10.862374,12,24.94508
5.098061,6,24.991984
5.127023,6,25.044755
4.117852,5,25.087932
4.180526,5,25.133463
7.036894,8,25.193504
11.557455,12,25.29135
14.328457,17,25.452821
5.016782,6,25.512021
14.000067,15,25.63744
11.202264,12,25.743766
3.333438,4,25.778114
7.809018,9,25.849197
11.202264,12,25.955355
11.722222,12,26.051067
6.191943,7,26.106914
11.174487,12,26.215826
10.470934,12,26.316645
7.211613,8,26.38269
5.242299,6,26.428022
11.666667,12,26.526319
8.577407,10,26.609302
13.356234,15,26.73093
8.62694,10,26.807595
7.023762,8,26.880758
12.605273,15,27.000908
9.726591,12,27.10352
6.181528,7,27.160427
6.053402,7,27.220448
7.07839,8,27.281337
7.23939,8,27.345672
3.363553,4,27.380276
5.236625,6,27.427534
7.156057,8,27.492704
3.347945,4,27.526912
4.176639,5,27.570716
8.096717,9,27.648578
4.110649,5,27.68512
7.049781,8,27.746281
7.23939,8,27.810091
6.95226,8,27.884778
3.380339,4,27.921115
4.171645,5,27.964162
4.201726,5,28.007147
7.291637,8,28.073516
11.09144,12,28.187861
4.171645,5,28.23234
11.091478,12,28.341167
8.62694,10,28.419394
10.554268,12,28.517942
11.854225,13,28.629585
11.091201,12,28.735161
11.174487,12,28.839241
11.174487,12,28.949063
11.202264,12,29.053931
