#{"t_start": 1764373449.274129, "env_id": "merge-v0"}
r,l,t
10.896986,12,18.04515
8.928663,10,18.127602
4.067571,5,18.168528
6.162942,7,18.227382
8.096747,9,18.299535
6.241908,7,18.360725
3.345926,4,18.394922
4.336278,5,18.432452
6.681058,8,18.50136
11.00782,12,18.605864
3.29037,4,18.639722
8.867833,10,18.721047
8.31753,10,18.808434
11.285598,12,18.915643
5.91237,7,18.976019
12.097824,14,19.08733
5.930526,7,19.14557
6.943197,8,19.220646
6.634353,8,19.293557
11.063375,12,19.399288
7.072724,8,19.466867
10.730551,13,19.578942
11.475164,13,19.691518
4.224169,5,19.735063
5.008036,6,19.789212
5.900905,7,19.849613
6.768089,8,19.918423
13.050679,14,20.030354
12.735234,17,20.187515
13.845109,16,20.335888
10.584321,12,20.435585
6.969356,8,20.49878
5.083871,6,20.545408
6.933835,8,20.612098
7.257396,8,20.673659
12.454991,15,20.799229
7.194371,9,20.869293
6.129181,7,20.926562
7.09073,8,20.990507
5.191499,6,21.036095
4.068148,5,21.079127
10.18661,13,21.192041
7.100501,8,21.258742
6.687791,8,21.326616
5.0958,6,21.3806
8.032527,9,21.454263
11.118931,12,21.558467
6.251555,7,21.618219
5.548538,7,21.678003
5.264407,6,21.726292
7.558692,9,21.795355
5.100501,6,21.84798
8.31925,10,21.930365
7.152746,8,21.998627
7.152654,8,22.063126
4.26386,5,22.10624
3.248121,4,22.14061
7.211613,8,22.209906
6.801019,8,22.279367
7.859016,9,22.357625
10.500986,12,22.456727
5.972385,7,22.51723
4.225167,5,22.562673
12.056876,14,22.682074
11.188379,13,22.789702
4.210213,5,22.835823
4.191499,5,22.879433
12.356234,14,22.989244
6.194982,7,23.065131
7.661602,9,23.140209
6.113934,7,23.202755
11.26192,13,23.312128
7.291637,8,23.379115
11.99556,14,23.492277
4.967841,6,23.548973
8.606597,10,23.628479
9.012339,12,23.729812
6.438581,8,23.793347
5.128279,6,23.842134
5.025277,6,23.891578
6.979618,8,23.957334
5.893701,7,24.01491
6.083505,7,24.079004
4.233431,5,24.120753
6.961613,8,24.189134
10.556541,12,24.284859
6.867875,8,24.347386
7.174063,8,24.413426
8.261259,10,24.495638
7.817941,9,24.567336
6.056999,7,24.627271
4.248121,5,24.665759
7.871517,10,24.750116
8.521116,10,24.820868
6.833485,8,24.890766
8.004749,9,24.961837
5.972759,7,25.017236
5.237991,6,25.066759
4.905379,6,25.120591
11.146709,12,25.224935
7.174063,8,25.292964
4.318148,5,25.33798
8.094218,9,25.409984
4.163721,5,25.451295
7.07272,8,25.520032
11.250002,12,25.623057
13.0414,16,25.76188
5.870119,7,25.822237
10.347607,12,25.91899
13.027835,14,26.036655
6.022296,7,26.096501
10.639875,12,26.196711
