#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
8.059265,9,42.736594
4.364056,5,42.8291
6.180906,7,42.971484
7.267168,8,43.117763
5.237991,6,43.208036
3.347193,4,43.284127
6.241908,7,43.420189
6.170037,7,43.611373
11.364434,14,43.855756
4.382123,5,43.981544
6.22176,7,44.078721
5.267168,6,44.20469
5.290258,6,44.292391
13.078457,14,44.601257
8.690046,11,44.83002
11.278044,15,45.080712
7.095823,8,45.22924
4.237991,5,45.35406
8.059265,9,45.514291
5.206925,6,45.605466
6.980037,8,45.751052
7.267168,8,45.90096
7.211613,8,46.045918
3.361111,4,46.119037
5.222759,6,46.248977
6.859542,8,46.40013
6.969608,8,46.546965
3.398383,4,46.618581
13.745123,15,46.907738
13.272893,15,47.160588
8.620004,10,47.422066
13.745123,15,47.731869
3.382123,4,47.802922
11.41999,14,48.035901
13.745123,15,48.32994
12.689172,17,48.631018
15.189568,17,48.943697
3.352561,4,49.017622
3.324783,4,49.08901
4.193983,5,49.208787
13.680074,15,49.455522
6.216741,7,49.593081
7.976972,9,49.745309
4.342827,5,49.863394
4.307998,5,49.943365
6.666596,8,50.086859
5.148861,6,50.177598
5.278315,6,50.303306
3.422222,4,50.37401
5.290258,6,50.464154
3.364056,4,50.535508
6.915098,8,50.682272
5.331454,6,50.806352
12.218331,14,51.038825
11.916933,15,51.32536
14.578457,16,51.622172
4.098781,5,51.702053
13.66179,15,51.989059
12.429113,15,52.26285
12.725165,14,52.502288
5.247054,6,52.626919
5.275128,6,52.714443
13.078457,14,52.992637
12.218331,14,53.234143
6.162942,7,53.371154
5.333438,6,53.500486
3.444444,4,53.572923
13.800679,15,53.817613
7.814687,9,54.00752
8.660004,10,54.169608
13.689568,15,54.456089
11.336657,14,54.692052
6.776209,8,54.839037
11.889155,15,55.134916
13.717346,15,55.417684
13.217345,15,55.697223
8.669797,10,55.860455
12.633051,15,56.140599
5.247054,6,56.229155
8.059265,9,56.424567
4.401481,5,56.505483
6.968625,8,56.654941
5.290258,6,56.745302
4.382123,5,56.863193
7.10483,8,57.008988
12.633051,15,57.25219
12.689172,17,57.582415
12.689172,17,57.935944
8.669797,10,58.11976
3.364056,4,58.203741
3.382123,4,58.280863
5.235642,6,58.41673
5.249538,6,58.509314
13.856234,15,58.805854
11.889155,15,59.090148
3.422222,4,59.162604
3.364056,4,59.235327
5.209435,6,59.326134
11.41999,14,59.604113
3.331454,4,59.67564
13.078457,14,59.911457
4.331454,5,60.033835
4.347193,5,60.11825
8.059265,9,60.276953
11.41999,14,60.55847
12.633051,15,60.810582
14.252943,17,61.17494
12.939568,15,61.457253
